name,athlete.sex,athlete.country,start_date_local,distance,achievement_count,type,kudos_count
"04/13/2014 Tempe, AZ",M,United States,2014-04-13T08:51:05Z,48415.5,0,Ride,0
35lb ruck run,M,United States,2014-05-28T16:15:18Z,6042.5,2,Run,0
Afternoon Ride,M,United Kingdom,2014-07-10T17:56:42Z,34499.3,17,Ride,1
"05/17/2014 Cape Town, WC, South Africa",,South Africa,2014-05-17T06:59:57Z,21587.8,11,Run,0
Vuelta en bici matutina,M,Spain,2015-07-04T09:32:59Z,63273.8,13,Ride,2
Vuelta con los hmnos redondo con visitas acuáticas.,M,España,2015-11-09T09:54:18Z,54424.2,4,Ride,1
Vuelta nocturna,,Mexico,2016-02-04T21:38:35Z,10122.0,0,Ride,0
Afternoon Run,F,United States,2014-10-14T16:28:58Z,6063.5,4,Run,1
V Shop to home,M,United Kingdom,2015-03-02T18:57:37Z,782.7,0,Ride,0
Afternoon Ride,M,United States,2015-09-16T16:50:26Z,24402.2,0,Ride,0
Pedalada matutina,M,Brazil,2015-12-19T08:15:41Z,40447.3,0,Ride,1
Greenway 10k practice w/ Dawn ,F,United States,2016-04-06T18:03:32Z,9980.4,0,Run,11
commute,M,United Kingdom,2014-03-26T07:49:14Z,40770.9,2,Ride,0
Evening Run,F,New Zealand,2016-02-16T19:20:23Z,7000.6,2,Run,48
Pedalada vespertina,F,Brazil,2015-03-31T17:20:04Z,13754.3,0,Ride,0
Ochtend toerskien tot 8 eralm,F,The Netherlands,2016-03-17T09:45:13Z,3369.6,0,Snowshoe,4
12.7 mile run... Accidentally stopped garmin at 3.3 AGAIN !!!!,F,United Kingdom,2016-03-05T09:19:14Z,15059.3,4,Run,30
Nachmittagsspaziergang,F,Germany,2016-01-13T16:42:47Z,3981.6,0,Walk,0
Morning Ride,M,United Kingdom,2014-04-15T08:45:25Z,13971.0,15,Ride,0
08/16/2015 เลย-สานตม-โค้ง100ศพ-วังสะพุง-เลย (E),M,ประเทศไทย,2015-08-16T06:32:16Z,116055.0,0,Ride,11
"Prin parc , pe langa lac alerg / Si burnita de-afara cade, tacut, usor si lent...",F,Romania,2014-11-18T19:52:30Z,4748.6,1,Run,3
Road Ride- hmmm- like the SRT better!- glad the school bus didn't cream me!,F,United States,2015-12-07T14:14:23Z,11235.5,0,Ride,1
09/09/2015 Park Regana,F,Polska,2015-09-09T19:44:29Z,4987.2,0,Run,1
Lunch Run,M,Canada,2016-03-13T11:49:41Z,14343.4,8,Run,0
Newquay - Afternoon Run along the Coastal Path,F,United Kingdom,2015-08-14T16:48:07Z,8055.0,1,Run,0
"12/16/2013 Marienheide, NRW, Germany",F,Germany,2013-12-16T11:07:23Z,10697.6,0,Run,1
Treadmill Run,M,Australia,2016-04-02T19:44:43Z,7000.0,0,Run,4
Long run at 7 miles via Hermosa Trail,M,United States,2015-05-11T09:38:44Z,11390.8,3,Run,1
오후 라이딩,,South Korea,2015-04-04T16:05:42Z,9143.3,0,Ride,0
Swinley,M,United Kingdom,2014-04-24T18:47:19Z,30824.0,135,Ride,0
Evening Run,F,Sweden,2015-06-08T18:46:25Z,3506.1,5,Run,0
Evening Run,M,United Kingdom,2014-01-30T18:49:11Z,15183.8,3,Run,0
Pedal solitario Fundao,M,Brasil,2014-11-09T08:05:48Z,118659.0,6,Ride,33
Easy slow 6 miles,F,United States,2015-06-28T08:36:21Z,10585.0,0,Run,1
Evening Activity,F,United Kingdom,2015-10-14T18:30:00Z,0.0,0,Workout,0
Lunch Run,M,Spain,2016-02-19T11:19:38Z,16009.5,1,Run,1
Morning commute,F,Canada,2015-06-23T07:01:12Z,7717.1,6,Ride,1
"10/09/2014 Irvine, California",M,United States,2014-10-09T18:02:10Z,39429.0,6,Ride,3
"05/17/2015 's-Heerenberg, naar het pannenkoekenhuis",M,Nederland,2015-05-17T11:11:03Z,48252.3,57,Ride,7
Holmepierre pont run,F,United Kingdom,2016-04-08T11:30:42Z,4812.9,1,Run,1
!Orale Ese!,M,United States,2015-10-22T17:25:41Z,18160.0,5,Ride,28
Spinning,M,Deutschland,2015-11-24T18:11:00Z,55000.0,0,Ride,1
Spin before Cambrian sportive,M,United Kingdom,2014-09-07T11:27:20Z,96676.3,15,Ride,8
Itch to scratch.,M,United Kingdom,2015-07-07T07:46:39Z,30637.1,9,Ride,3
06/13/2015 Commute,F,United States,2015-06-13T19:41:02Z,9615.6,0,Ride,1
Nuotata ,M,Italy,2015-11-22T13:00:00Z,0.0,0,Swim,0
Morning Run,F,Ireland,2015-02-04T09:25:16Z,12984.2,0,Run,1
晨間騎乘,M,Taiwan,2014-09-28T05:43:47Z,74454.8,22,Ride,0
Afternoon Ride,M,United Kingdom,2015-02-08T15:18:49Z,13126.2,0,Ride,2
Afternoon Ride,M,United Kingdom,2015-04-27T16:03:44Z,4062.4,2,Ride,0
"07/16/2015 Yaxley, United Kingdom",M,United Kingdom,2015-07-16T18:39:23Z,49556.6,20,Ride,10
Morning Ride,M,Australia,2016-01-10T07:02:56Z,36366.9,0,Ride,2
Afternoon Ride,F,United Kingdom,2016-03-31T14:13:29Z,7015.4,0,Ride,0
Morning Ride,F,United States,2014-11-09T08:18:42Z,49422.0,0,Ride,0
Afternoon Ride,M,United Kingdom,2016-01-12T17:25:22Z,7680.1,2,Ride,0
Trying to get fit,F,United Kingdom,2014-02-16T09:27:05Z,9934.2,0,Ride,0
Sunday Runday Ankeny-Talbot,M,United States,2014-02-16T08:49:21Z,15002.3,6,Run,0
Por los pelos,M,Spain,2016-02-14T08:43:15Z,31972.0,6,Ride,0
"08/03/2015 Pescate, Lombardia, Italy",M,Italia,2015-08-03T11:37:17Z,30045.5,1,Ride,0
Evening Run,F,United Kingdom,2015-08-04T18:13:02Z,3661.4,2,Run,0
Easy gym bike,M,United Kingdom,2014-09-30T07:10:00Z,0.0,0,Ride,0
Afternoon Ride,F,United States,2016-03-31T17:39:31Z,17159.5,3,Ride,0
Aluna run around the park,F,United States,2016-03-30T18:58:32Z,5467.5,0,Run,5
TIBCOmmute home v wind,M,United States,2014-03-17T17:28:42Z,11130.4,0,Ride,0
"08/18/2012 Oxenhope, United Kingdom",F,United Kingdom,2012-08-18T19:09:07Z,9265.8,2,Run,0
Morning Ride,M,South Korea,2015-09-12T07:32:53Z,65342.2,1,Ride,6
27/01/2014,,Australia,2014-01-27T06:16:52Z,52320.7,43,Ride,0
Sonoran parkway ,F,United States,2015-01-25T14:04:33Z,59125.2,22,Ride,0
Vine Street,F,United Kingdom,2014-10-14T18:07:15Z,8206.7,0,Ride,0
Morning Run..มาฆบูชา 22กพ59,F,Thailand,2016-02-22T07:43:41Z,4661.9,1,Run,3
Afternoon Ride,M,United Kingdom,2015-03-16T17:37:31Z,12143.1,7,Ride,2
Lunch Run,F,United Kingdom,2015-05-23T11:16:07Z,16108.8,9,Run,8
"09/11/2014 Barcelona, Catalunya, Spain",M,Spain,2014-09-11T20:24:32Z,6131.4,0,Run,0
Bon any 2014! Sbg-Sobremunt-Sbg,M,Spain,2014-01-01T15:23:53Z,46609.8,3,Ride,0
TOS Stage 1 -Ninfield TTT,M,United Kingdom,2014-07-04T19:41:54Z,13720.3,19,Ride,0
Working at Sports Authority!,M,United States,2014-04-10T18:06:12Z,7214.0,0,Walk,0
Desconexión sólo (despejado y viento de SO),M,Spain,2015-07-24T19:14:11Z,25969.4,2,Ride,2
Course du midi,M,France,2016-03-18T12:40:32Z,7976.9,8,Run,1
Hill reps,F,United Kingdom,2015-02-12T15:04:18Z,41671.8,42,Ride,9
Morning Ride,M,United Kingdom,2014-12-04T07:58:21Z,22894.0,0,Ride,0
Couldn't get my legs to move fast enough or my HR up high enough to match what my mind wanted. But I'll take it. ,M,United States,2015-03-06T05:48:39Z,7513.6,7,Run,12
Evening Run,F,United Kingdom,2014-07-14T18:25:00Z,5002.5,11,Run,0
Sans titre,M,France,2009-06-17T04:37:47Z,170053.0,0,Run,0
"02/06/2015 Al Wakrah, Qatar",F,Norway,2015-02-06T15:26:30Z,96724.4,1,Ride,0
Meandering ride,F,United Kingdom,2014-04-27T08:06:49Z,44429.6,3,Ride,0
Evening Run,F,United Kingdom,2016-01-21T19:54:36Z,3385.1,2,Run,6
"07/30/2015 Molenhoek, Limburg, Netherlands",F,Nederland,2015-07-30T17:16:26Z,61213.9,11,Ride,9
Afternoon Run,F,United States,2016-01-27T16:07:35Z,5359.5,5,Run,1
Evening Run ,F,South Africa,2014-12-16T17:44:58Z,6916.8,8,Run,0
9km Bréhat avec Carole (puis 500m crawl),M,Belgium,2015-08-17T17:52:10Z,9063.9,0,Run,1
Namiddagrit,M,Nederland,2015-05-27T17:16:15Z,18653.9,1,Ride,0
Boucle de corronssac #colle #jambesderetraite ,M,France,2014-09-21T08:51:36Z,32104.2,9,Ride,5
Evening Run,F,United States,2015-11-12T18:33:13Z,7933.3,12,Run,0
Wednesday Night Ride & Dinner,F,United States,2014-11-12T16:58:07Z,20914.1,11,Ride,11
Giro mattutino costiera dei chec,M,Italy,2015-11-14T09:10:35Z,27844.6,1,Ride,3
Don't run after free DQ cones,F,United States,2015-03-16T18:57:29Z,4364.6,5,Run,0
6km run with Lynsey!,F,Canada,2015-06-12T12:08:10Z,6020.5,1,Run,1
Slingeren door het verkeer en mensenmassa met #3,F,Netherlands,2015-10-20T13:00:25Z,29533.3,5,Ride,4
Afternoon Ride,M,India,2015-03-04T15:49:41Z,20460.3,0,Ride,3
Morning Run,F,Australia,2015-11-16T05:21:28Z,3414.0,1,Run,0
Heel rustig aan gedaan. Dat is moeilijk.,M,Nederland,2013-12-15T10:18:31Z,45233.4,2,Ride,0
Entrenamiento en bici matutino,F,Spain,2014-06-29T07:56:54Z,41566.3,7,Ride,0
Montau - Peña del Moro,M,Spain,2016-01-23T08:01:32Z,76862.6,44,Ride,7
Official time 24:04. First on AG. Second female. Very hot ,F,United States,2016-03-18T18:27:28Z,4991.2,0,Run,17
Lunch Ride,M,United Kingdom,2014-07-21T12:30:30Z,745.1,2,Ride,0
"Whole different ballgame with a bee sting on the bottom of your foot (itch, itch)",F,United States,2015-06-29T11:42:11Z,8095.4,0,Run,3
Labor day weekend ride at Clayton,M,United States,2015-09-05T11:50:13Z,5895.2,1,Ride,2
Afternoon Ride,M,United Kingdom,2014-06-12T14:19:14Z,3774.1,2,Ride,0
20 minute run off the bike,F,Australia,2014-01-26T11:04:12Z,3344.5,0,Run,0
"02/09/2014 Kew, Victoria, Australia",M,Australia,2014-09-02T17:20:05Z,6285.7,0,Run,0
Dalby,M,United Kingdom,2015-03-22T09:09:46Z,36584.5,128,Ride,0
Entrenamiento de Fuerza,F,Spain,2016-01-20T07:12:16Z,2696.1,0,Run,0
Corrida pela manhã,F,Brazil,2015-12-01T07:16:27Z,4292.6,0,Run,2
Midi - Piste,M,France,2013-09-19T12:13:20Z,8958.7,0,Run,0
Nachmittagslauf,M,Germany,2015-12-30T16:47:53Z,12237.1,8,Run,0
Morning Run,F,United States,2015-04-23T10:59:55Z,3479.5,0,Run,0
Morning Ride,M,United Kingdom,2016-03-13T09:09:06Z,119540.0,38,Ride,0
01/22/2015,M,United States,2015-01-22T19:21:06Z,23045.0,0,Ride,0
Morning Run,F,United States,2014-07-29T07:30:46Z,16015.2,6,Run,0
Morning Ride,M,Australia,2016-02-09T06:18:35Z,21884.4,0,Ride,0
Happy hour first xc ski. Loved it!,F,United States,2016-01-25T16:34:28Z,2620.7,0,BackcountrySki,9
27/05/2014,F,Australia,2014-05-27T05:35:44Z,10809.5,0,Run,0
Ste-marguerite - Cyclemeter,F,Canada,2014-05-29T16:31:14Z,24256.5,0,Ride,0
"01/29/2015 San Andreas, CA",M,United States,2015-01-29T15:58:19Z,19997.9,3,Ride,3
Hokksund pluss 3 bakkedrag bak Stamina. I fønvind- WOW!!:-),F,Norway,2015-06-05T18:17:20Z,22226.8,6,Ride,6
Hot Yoga,M,Canada,2016-04-04T21:48:43Z,0.0,0,Yoga,0
Afternoon Run,M,United Kingdom,2015-03-24T14:30:39Z,6269.6,0,Run,0
to home,M,United States,2014-02-24T16:46:37Z,19224.3,0,Ride,0
Evening Ride,F,United States,2014-09-18T17:28:56Z,7176.2,0,Ride,0
"10/15/2014 Scottsdale, AZ",M,United States,2014-10-15T06:35:59Z,25107.3,0,Ride,2
Morning Ride,M,United Kingdom,2015-06-05T08:47:22Z,9560.5,7,Ride,1
Sorting out running #3,,United Kingdom,2015-10-19T08:37:17Z,5255.9,6,Run,3
Morning Run,F,Norway,2015-01-14T09:00:00Z,5900.0,0,Run,0
Morning Ride,M,United Kingdom,2015-08-27T10:16:48Z,21281.5,2,Ride,0
"22/02/2015 Ankara, Ankara Province, Turkey",F,Turkey,2015-02-22T11:12:58Z,3500.9,0,Run,0
"Recovery ride does a body & mind good (PS Darren, THIS is how you do a proper recovery ride)",F,United States,2016-02-05T11:29:55Z,20098.4,2,Ride,8
Namiddag ritje tussen de druppel door,F,Belgium,2014-08-22T17:23:42Z,27186.2,15,Ride,1
Morning Run,F,United States,2016-01-24T10:16:42Z,16492.8,4,Run,2
Morning Ride,F,United Kingdom,2015-01-14T09:12:21Z,5680.0,2,Ride,0
The Loop,F,United States,2016-01-06T18:02:40Z,9434.6,2,Run,1
Morning Ride,M,Switzerland,2016-01-06T09:47:34Z,100177.0,6,Ride,1
Namiddagloop,M,,2015-11-02T17:03:32Z,9955.2,0,Run,6
Avondrit 16.30,F,Netherlands,2016-03-26T16:30:00Z,4840.0,0,Ride,0
Morning Ride,F,Sweden,2014-08-19T07:48:30Z,20568.9,10,Ride,1
Home to Horwich,F,United Kingdom,2016-03-31T17:21:16Z,23546.3,4,Ride,4
Evening Run,M,United States,2016-03-30T18:26:54Z,7149.5,0,Run,1
Sirromet parkrun,F,,2016-01-30T07:00:32Z,5061.4,1,Run,8
09/04/2012,M,Portugal,2012-09-04T12:27:39Z,8496.4,0,Run,0
09/28/2014 新城爬天祥 環島 Day 2 Part 1,M,Taiwan,2014-09-28T07:08:35Z,22796.0,0,Ride,0
Lunch Ride,F,United Kingdom,2014-05-04T12:40:49Z,22626.1,6,Ride,0
Lunch Run,M,United States,2015-07-03T12:50:28Z,25629.3,3,Run,1
Krangi Loop with Metasport,F,Hong Kong,2014-05-04T06:43:06Z,74649.2,40,Ride,0
Rollers,M,United Kingdom,2014-02-02T17:00:00Z,0.0,0,Ride,0
Easy Tokai,F,South Africa,2014-03-14T07:18:20Z,39579.0,9,Ride,0
Pedalada matutina,F,Brazil,2015-11-27T05:12:27Z,27932.5,1,Ride,37
"07/20/2013 Ixelles, Brussels, Belgium",M,Belgium,2013-07-20T13:30:29Z,20646.1,2,Ride,0
Blackstar/Skyline: Almost got Rammed by a Dodge,M,United States,2015-01-04T07:01:15Z,41059.8,53,Ride,16
Morning Ride,M,South Africa,2014-12-16T05:11:25Z,131756.0,18,Ride,2
Afternoon Ride,,Slovenia,2015-06-28T12:15:15Z,41.6,0,Ride,0
First Wahoo Kickr Trainer Ride,F,United States,2015-07-23T14:59:54Z,48403.3,0,Ride,6
Corrida ao entardecer,F,Brazil,2016-01-11T19:34:06Z,110.9,0,Run,0
"02/28/2015 Madrid, Comunidad de Madrid, Spain",F,Spain,2015-02-28T12:35:34Z,29872.6,0,Ride,0
Wet!,M,United Kingdom,2015-05-14T17:04:40Z,3395.6,0,Ride,0
10/04/2014,F,United States,2014-10-04T07:40:10Z,5152.4,0,Run,0
Morning Ride,F,Malaysia,2016-01-02T08:14:03Z,42244.9,13,Ride,0
Evening Run,M,,2016-02-10T18:00:03Z,10059.5,12,Run,0
2nd half of beach run ,,United States,2014-03-24T15:57:24Z,5471.0,1,Run,1
Morning Ride,M,United Kingdom,2016-01-04T06:29:13Z,20315.6,0,Ride,0
Morning Ride,M,United Kingdom,2015-04-24T07:20:07Z,15537.5,7,Ride,0
Wildcat Canyon Loop,F,United States,2015-05-28T06:04:34Z,10786.9,3,Run,4
Evening run,M,United Kingdom,2014-10-28T16:03:13Z,8795.3,1,Run,0
C home. Rainy last 5 mins,M,United Kingdom,2015-12-09T17:49:34Z,7430.3,0,Ride,1
"08/16/2015 Fairfax Station, Virginia",M,United States,2015-08-16T12:33:32Z,7176.9,0,Run,0
Morning Run,F,United States,2015-03-17T06:57:07Z,1665.2,4,Run,0
"11/19/2014 Juárez, Chihuahua, Mexico",M,México,2014-11-19T21:47:31Z,2687.0,0,Run,0
Afternoon Ride,M,United Kingdom,2015-10-23T14:50:12Z,28059.6,3,Ride,1
"07/20/2015 Austin, Texas",F,United States,2015-07-20T17:09:20Z,7253.7,3,Run,0
"02/24/2014 Carentoir, Brittany, France",,France,2014-02-24T12:47:02Z,6959.7,1,Run,0
Afternoon Run,F,,2016-03-02T17:59:29Z,7019.2,5,Run,0
"Hurry guys, I dont want to be late to see Murray at coffee.",M,Australia,2014-05-15T05:31:00Z,36678.7,6,Ride,0
Bank + Post Office,F,United States,2014-12-11T16:10:22Z,6825.7,0,Ride,0
"05/21/2014 Wath Upon Dearne, England, United Kingdom",F,United Kingdom,2014-05-21T08:57:40Z,8843.0,0,Run,0
Desopilando,M,República Federativa do Brasil,2014-08-26T09:53:21Z,7569.0,2,Ride,1
"03/19/2014 Athens, GA",F,United States,2014-03-19T13:25:37Z,41987.7,5,Ride,0
Afternoon Walk,F,United States,2016-01-03T13:20:57Z,1179.2,0,Walk,0
Trainer :(,M,United States,2014-02-19T18:00:00Z,32186.9,0,Ride,0
Hell YAAA,F,Slovenia,2014-08-02T00:00:00Z,34000.0,0,Ride,0
"05/07/2014 Quebec, QC, Canada",M,Canada,2014-05-07T15:42:55Z,74897.3,0,Ride,0
How was that only 10k!!! #cyclocross #mud&blood,F,United Kingdom,2015-11-08T12:19:14Z,9690.5,15,Ride,15
Afternoon Ride,M,United Kingdom,2015-04-07T14:32:16Z,18824.7,1,Ride,0
"06/18/2015 Northampton, United Kingdom",F,United Kingdom,2015-06-18T18:00:07Z,25195.0,2,Ride,0
Lunch Ride,M,United Kingdom,2015-08-23T12:45:54Z,19722.3,2,Ride,0
Corrida matutina,F,Brazil,2014-10-28T05:30:46Z,4757.0,5,Run,7
Afternoon Run,F,United States,2016-04-01T16:55:34Z,8331.3,1,Run,3
South Burlington Running,F,United States,2015-11-24T15:33:45Z,5969.3,1,Ride,0
"03/28/2015 Camino: Arzúa, Galicia, Spain",F,United Kingdom,2015-03-28T06:57:00Z,31762.7,0,Walk,2
Natação A1 quase A0 série de 2x(500 + 10x50m) #feriasss,F,Brasil,2015-12-21T05:45:27Z,3000.0,0,Swim,38
Lunch Walk,M,Australia,2014-08-26T12:01:55Z,1839.4,0,Walk,0
Giro all'ora di pranzo,M,Italy,2016-01-01T11:11:07Z,4573.2,0,Ride,0
"T1, espinazo, angel, hoyo negro, hermosisima, quasi angel, vaca muerta, cebada, Y, villa California",M,Mexico,2015-02-22T07:34:03Z,48074.3,26,Ride,11
Ochtendrit,F,Nederland,2015-10-06T07:16:08Z,6240.4,0,Ride,0
3 easy miles with beginners' group,F,United Kingdom,2015-04-02T12:34:57Z,4599.8,0,Run,0
Lunch Run,F,United States,2014-08-23T11:37:25Z,5064.1,0,Run,0
Evening Run,F,,2015-01-26T20:11:55Z,3253.2,1,Run,0
Pedalada com meu ❤️Amor! ,F,Brazil,2015-07-28T20:14:30Z,23117.8,0,Ride,4
Morning Ride,M,United Kingdom,2014-09-12T07:01:24Z,2741.2,0,Ride,0
Lamarck - TrainerRoad,M,United Kingdom,2016-04-12T18:23:47Z,12965.7,0,Ride,1
Morning Swim,F,United States,2016-02-12T04:44:28Z,1737.4,0,Swim,0
Que verguenza :(,F,Mexico,2015-11-18T19:21:21Z,2794.0,3,Run,2
Afternoon Run,F,United States,2015-03-20T13:31:06Z,4761.0,0,Run,0
"05/02/2014 Kerkrade, Limburg, The Netherlands",F,Nederland,2014-02-05T19:27:00Z,2040.8,0,Run,0
Lunch Ride,M,Polska,2015-06-14T11:29:04Z,55507.2,1,Ride,0
Carrera por la tarde,F,Spain,2014-04-15T17:20:55Z,5664.0,6,Run,2
01/27/2015,F,United States,2015-01-27T12:57:28Z,0.0,0,Ride,1
"12/07/2013 Paris, IDF, France",M,France,2013-12-07T18:57:39Z,7184.4,0,Run,0
2 laps of Lysty with Michael,M,Australia,2016-01-29T11:39:09Z,28483.2,50,Ride,1
Evening Ride,F,Australia,2014-03-27T19:39:40Z,8901.4,0,Ride,0
Ride  to work ,F,United Kingdom,2015-10-20T08:21:54Z,13436.6,1,Ride,4
Morning Ride,F,United Kingdom,2014-04-21T09:23:48Z,53032.4,44,Ride,2
Afternoon quick run,F,United States,2015-01-09T17:04:15Z,3928.2,1,Run,0
Pedalada ,M,Brazil,2015-06-06T06:30:50Z,31075.7,10,Ride,0
Afternoon Ride,F,United States,2015-07-02T17:46:06Z,21156.4,7,Ride,1
Cycle - Cyclemeter,M,United States,2015-06-20T08:53:58Z,50265.6,0,Ride,0
Afternoon Run,F,Australia,2015-12-31T17:04:54Z,1852.6,0,Run,5
Did we beat yesterday's speed,F,United States,2016-01-19T17:48:28Z,21743.1,0,Ride,1
Morning Run,F,United Kingdom,2016-01-24T09:06:21Z,16477.4,4,Run,0
Morning Activity,F,United Kingdom,2016-03-13T09:57:04Z,13868.6,0,NordicSki,0
Ainslie Run,M,Australia,2015-01-24T09:25:00Z,9436.9,5,Run,0
Morning Run,F,Australia,2014-04-24T08:21:03Z,6088.2,0,Run,0
Afternoon Run,,,2016-01-09T14:11:34Z,11387.9,5,Run,0
Bootcamp @beatrix,F,Italy,2015-12-30T20:12:41Z,3000.0,0,Run,0
Morning Walk/Run,F,United States,2015-05-11T05:20:49Z,5029.7,0,Run,1
야간 라이딩,F,South Korea,2015-08-06T00:03:44Z,12830.6,0,Ride,3
"cool down""""",F,United States,2015-10-27T19:25:08Z,3280.3,0,Run,5
British Cycling - Warm Up ,M,United Kingdom,2015-01-30T14:02:00Z,10637.8,0,Ride,0
Afternoon Ride,M,United Kingdom,2015-08-20T16:41:21Z,36754.3,16,Ride,2
45 min Peloton Ride with Jenn Sherman,F,,2016-03-22T13:55:06Z,21790.4,0,Ride,0
Morning Ride,M,United States,2016-01-06T08:46:37Z,5771.1,0,Ride,1
Christmas ride!,F,Australia,2014-12-25T15:38:58Z,10168.3,2,Ride,0
Afternoon Run,F,Norway,2015-06-12T16:44:11Z,5469.4,0,Run,0
"06/04/2013 Aix En Provence, PACA, France",M,France,2013-06-04T14:06:30Z,7749.9,0,Run,0
Diversions with the dog,F,United States,2016-04-03T16:25:51Z,13750.5,2,Ride,6
"05/30/2015 Calgary, Alberta, Canada",F,Canada,2015-05-30T08:31:49Z,6004.4,0,Run,0
Morning Ride,F,Slovakia,2016-01-10T09:09:05Z,52180.5,0,Ride,1
Lunch Ride,M,United Kingdom,2015-06-22T12:18:38Z,16966.8,2,Ride,1
"04/10/2015 London, United Kingdom",M,United Kingdom,2015-04-10T17:15:21Z,4797.6,3,Ride,1
Candy Woods New Downhill Bit,F,United Kingdom,2016-04-01T10:07:32Z,17411.6,0,Ride,2
Entrenamiento vespertino,M,Spain,2015-12-02T19:08:24Z,0.0,0,Ride,3
"06/13/2015 Windham, New York",F,United States,2015-06-13T11:32:02Z,29422.6,2,Ride,6
Afternoon Ride,F,United Kingdom,2015-04-17T16:08:00Z,15641.9,0,Ride,0
alcudia-selva-luc-puig major-soller-bunyola-st.maria-alcudia,F,Germany,2015-04-22T10:00:00Z,135000.0,0,Ride,1
Morning Run,F,Australia,2014-04-15T07:24:43Z,8473.2,4,Run,1
"Yep, I rode home like this ",F,United Kingdom,2016-04-10T22:32:02Z,303.8,0,Ride,17
Morgenaktivität,F,Germany,2015-10-10T06:58:53Z,0.0,0,Workout,0
empty gym and fancy elliptical ,F,United States,2016-04-01T17:44:29Z,0.0,0,Ride,6
"01/10/2014 Freeland, Oxfordshire, United Kingdom",M,United Kingdom,2014-01-10T07:03:59Z,29663.7,0,Ride,0
Canal,F,United Kingdom,2015-07-22T17:21:16Z,6406.6,4,Run,0
Pushing The Intown Envelope,M,United States,2015-06-28T08:02:32Z,81122.7,4,Ride,19
Night Ride,,Singapore,2015-08-28T22:32:35Z,18961.5,12,Ride,0
Thursday Bunchride with the Boys,M,New Zealand,2015-11-12T17:33:16Z,63546.8,12,Ride,2
ohio run on olentangy trail: ) ,F,United States,2015-04-04T13:50:00Z,33796.2,0,Run,8
Lunch PA Ride,F,United States,2014-09-26T11:10:52Z,3297.2,0,Ride,0
Swans 10k Fun Run,F,United Kingdom,2016-03-28T11:59:56Z,10306.0,7,Run,17
"07/15/2015 Frankfurt, HE, Germany",M,Deutschland,2015-07-15T18:38:17Z,38459.7,1,Ride,0
Course à pied l'après-midi,M,France,2015-09-17T17:07:05Z,5007.3,0,Run,2
"12/26/2013 Aliso Viejo, CA",M,United States,2013-12-26T10:36:28Z,7831.9,0,Run,1
Entrenamiento matutino,M,Spain,2015-07-05T08:29:37Z,70890.2,23,Ride,1
"05/25/2015 Buffalo, New York",M,United States,2015-05-25T08:50:58Z,10476.9,0,Run,0
Nuotata mattutina,M,Italy,2016-01-17T09:38:25Z,1225.0,0,Swim,3
"08/18/2015 Montpellier, Languedoc-Roussillon, France",M,France,2015-08-18T14:29:17Z,91580.5,14,Ride,3
Morning Ride,F,United States,2014-04-29T09:13:01Z,11508.2,2,Ride,0
Lunch Ride,M,The Netherlands,2016-03-13T12:41:22Z,57986.9,11,Ride,3
Evening Ride,M,United Kingdom,2014-10-10T19:39:16Z,2339.4,4,Ride,0
